Variable,Region,Unit,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100,2105,2110,2115,2120,2125,2130,2135,2140,2145,2150
regional_emissions,CAN,GtCO2/yr,0.511577,0.383683,0.255789,0.176696,0.149962,0.121696,0.0989605,0.0867122,0.0781877,0.0679262,0.0552919,0.0412555,0.0279275,0.0164392,0.00654585,-0.00232792,-0.0490131,-0.0396927,-0.0396927,-0.0396927,-0.0396927,-0.0396927,-0.0396928,-0.0396928,-0.0396929,-0.039693,-0.0396931
regional_emissions,USA,GtCO2/yr,5.39382,4.04537,2.69691,1.34846,0.904565,0.721027,0.575455,0.450483,0.340497,0.24241,0.15696,0.0843956,0.0228695,-0.0299966,-0.0750637,-0.108327,-0.471452,-0.202047,-0.202047,-0.202047,-0.202047,-0.202047,-0.202047,-0.202047,-0.202047,-0.202047,-0.202047
regional_emissions,MEX,GtCO2/yr,0.572878,0.429658,0.28644,0.266983,0.247371,0.219062,0.189002,0.16193,0.136607,0.111248,0.0841601,0.0553818,0.0266564,-0.00104451,-0.0278011,-0.0537301,-0.149082,-0.168439,-0.168439,-0.168439,-0.168439,-0.168439,-0.168439,-0.168439,-0.168439,-0.168439,-0.168439
regional_emissions,RCAM,GtCO2/yr,0.302334,0.22675,0.185733,0.17418,0.165834,0.163226,0.163918,0.164156,0.159013,0.145946,0.125864,0.10044,0.0716599,0.0408322,0.0086741,-0.0350535,-0.110636,-0.161258,-0.161258,-0.161258,-0.161259,-0.161259,-0.161259,-0.161259,-0.161259,-0.161259,-0.161259
regional_emissions,BRA,GtCO2/yr,1.57743,1.18307,0.788715,0.394358,0.289138,0.179776,0.0687256,-0.0274304,-0.0964693,-0.14579,-0.197712,-0.2734,-0.347932,-0.376918,-0.38291,-0.409524,-0.573336,-0.576359,-0.576359,-0.576359,-0.576359,-0.576359,-0.576359,-0.576359,-0.576359,-0.576359,-0.576359
regional_emissions,RSAM,GtCO2/yr,1.38348,1.03761,0.691742,0.359628,0.250219,0.164919,0.0624105,-0.0479496,-0.141066,-0.230058,-0.327791,-0.430155,-0.525542,-0.601296,-0.665668,-0.727442,-0.982684,-1.01767,-1.01767,-1.01767,-1.01767,-1.01767,-1.01767,-1.01767,-1.01767,-1.01767,-1.01767
regional_emissions,NAF,GtCO2/yr,0.583268,0.479041,0.498192,0.497004,0.484381,0.466429,0.458903,0.471704,0.493118,0.510361,0.517649,0.513741,0.50619,0.501653,0.499904,0.498593,0.438168,0.50165,0.50165,0.50165,0.50165,0.50165,0.50165,0.50165,0.50165,0.501649,0.501649
regional_emissions,WAF,GtCO2/yr,1.817,1.90551,2.09707,1.76384,1.39001,1.29541,1.20383,0.917123,0.683895,0.673884,0.748043,0.778854,0.744771,0.647101,0.488303,0.0622203,-0.392028,-0.846277,-0.846277,-0.846277,-0.846277,-0.846277,-0.846277,-0.846277,-0.846277,-0.846278,-0.846278
regional_emissions,EAF,GtCO2/yr,0.283526,0.351503,0.430023,0.419959,0.373974,0.339788,0.321187,0.314315,0.321049,0.343295,0.382183,0.434814,0.491124,0.537977,0.546558,0.475679,0.404798,0.333918,0.333918,0.333917,0.333917,0.333917,0.333917,0.333917,0.333917,0.333917,0.333917
regional_emissions,SAF,GtCO2/yr,0.507151,0.380363,0.260453,0.222885,0.195254,0.17846,0.163978,0.145648,0.124016,0.100712,0.0775756,0.055736,0.0356011,0.0173206,0.000859946,-0.0133331,-0.0742188,-0.068893,-0.068893,-0.0688931,-0.0688931,-0.0688931,-0.0688931,-0.0688932,-0.0688932,-0.0688933,-0.0688935
