Variable,Region,Unit,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100,2105,2110,2115,2120,2125,2130,2135,2140,2145,2150
regional_emissions,CAN,GtCO2/yr,0.511577,0.383683,0.255789,0.182099,0.15636,0.128506,0.106206,0.0950041,0.0880452,0.079511,0.0685119,0.0558217,0.0437202,0.0337199,0.0260973,0.0205596,0.0166623,0.0557359,0.0557356,0.0557354,0.0557353,0.0557352,0.0557351,0.055735,0.0557349,0.0557348,0.0557345
regional_emissions,USA,GtCO2/yr,5.39382,4.04537,2.69691,1.34846,0.960807,0.786333,0.648757,0.532248,0.431228,0.342717,0.267895,0.207783,0.162012,0.129887,0.110333,0.103412,0.112387,0.567249,0.567249,0.567249,0.567249,0.567248,0.567248,0.567248,0.567248,0.567248,0.567248
regional_emissions,MEX,GtCO2/yr,0.572878,0.429658,0.289329,0.272644,0.254463,0.227477,0.198764,0.173368,0.150179,0.127441,0.103333,0.0777196,0.0524722,0.0288814,0.00737817,-0.0122493,-0.0301306,0.00706539,0.007065,0.0070648,0.00706466,0.00706455,0.00706444,0.00706433,0.0070642,0.00706403,0.00706371
regional_emissions,RCAM,GtCO2/yr,0.302334,0.22675,0.187764,0.176764,0.169106,0.167499,0.169609,0.171776,0.169038,0.15875,0.141808,0.119929,0.0952679,0.0693689,0.0430633,0.0173759,-0.00651003,0.0124766,0.0124761,0.0124759,0.0124757,0.0124756,0.0124755,0.0124753,0.0124752,0.012475,0.0124747
regional_emissions,BRA,GtCO2/yr,1.57743,1.18307,0.788715,0.40824,0.314824,0.210309,0.102117,0.00638312,-0.0635004,-0.112754,-0.161198,-0.228063,-0.29296,-0.317814,-0.321409,-0.343316,-0.377617,-0.316722,-0.316722,-0.316723,-0.316723,-0.316723,-0.316723,-0.316723,-0.316723,-0.316723,-0.316724
regional_emissions,RSAM,GtCO2/yr,1.38348,1.03761,0.691742,0.376546,0.270714,0.191634,0.0955535,-0.0116906,-0.102885,-0.187147,-0.277081,-0.369766,-0.454803,-0.520653,-0.573883,-0.627684,-0.68186,-0.603361,-0.603361,-0.603362,-0.603362,-0.603362,-0.603362,-0.603362,-0.603362,-0.603362,-0.603363
regional_emissions,NAF,GtCO2/yr,0.583268,0.481267,0.501144,0.500733,0.488929,0.47184,0.465412,0.479849,0.503474,0.523396,0.533715,0.53311,0.529386,0.529626,0.533824,0.540872,0.552339,0.66905,0.66905,0.66905,0.66905,0.669049,0.669049,0.669049,0.669049,0.669049,0.669049
regional_emissions,WAF,GtCO2/yr,1.817,1.91586,2.11175,1.77977,1.40622,1.31489,1.22721,0.940445,0.707118,0.705079,0.796432,0.851539,0.849405,0.793192,0.688389,0.543491,0.381021,0.596017,0.596016,0.596016,0.596016,0.596016,0.596016,0.596016,0.596016,0.596015,0.596015
regional_emissions,EAF,GtCO2/yr,0.283526,0.352821,0.432047,0.422482,0.376837,0.343092,0.325147,0.319251,0.327525,0.352277,0.395302,0.454639,0.521235,0.582982,0.61899,0.620896,0.610781,0.811371,0.811371,0.811371,0.811371,0.81137,0.81137,0.81137,0.81137,0.81137,0.81137
regional_emissions,SAF,GtCO2/yr,0.507151,0.380363,0.264593,0.227911,0.201163,0.185675,0.172792,0.156127,0.136166,0.114537,0.0931709,0.0733317,0.0555506,0.040112,0.0270802,0.0164761,0.00810108,0.0415454,0.041545,0.0415448,0.0415447,0.0415446,0.0415445,0.0415444,0.0415443,0.0415441,0.0415438
regional_emissions,WEU,GtCO2/yr,3.13174,2.3488,1.56587,1.19178,1.07958,1.03076,1.00719,0.98154,0.938212,0.873355,0.808156,0.757158,0.706207,0.645836,0.593496,0.563181,0.550679,0.818305,0.818304,0.818304,0.818304,0.818304,0.818304,0.818304,0.818304,0.818304,0.818303
regional_emissions,CEU,GtCO2/yr,0.784933,0.5887,0.392466,0.315549,0.286637,0.259688,0.234649,0.212341,0.189673,0.164731,0.1398,0.117023,0.0962954,0.0777241,0.0629711,0.0527243,0.0456613,0.0760143,0.0760139,0.0760138,0.0760136,0.0760135,0.0760134,0.0760133,0.0760132,0.076013,0.0760127
regional_emissions,TUR,GtCO2/yr,0.435783,0.326837,0.302499,0.282066,0.260177,0.245427,0.237533,0.233892,0.229658,0.221656,0.211327,0.200631,0.191052,0.183185,0.175064,0.165476,0.157362,0.184724,0.184724,0.184724,0.184724,0.184724,0.184724,0.184723,0.184723,0.184723,0.184723
regional_emissions,UKR,GtCO2/yr,0.403864,0.302898,0.236696,0.233721,0.230457,0.213628,0.194881,0.182903,0.170509,0.152141,0.132917,0.11736,0.104687,0.093767,0.0849558,0.0785454,0.0740673,0.0927019,0.0927016,0.0927014,0.0927013,0.0927012,0.0927011,0.092701,0.0927008,0.0927007,0.0927004
regional_emissions,STAN,GtCO2/yr,0.485141,0.367661,0.364721,0.345765,0.31744,0.285825,0.266301,0.267281,0.268498,0.255055,0.249032,0.267727,0.287223,0.285262,0.27309,0.264728,0.260882,0.281836,0.281835,0.281835,0.281835,0.281835,0.281835,0.281835,0.281835,0.281835,0.281834
regional_emissions,RUS,GtCO2/yr,1.8782,1.40865,1.14767,1.04098,0.946896,0.864826,0.796955,0.742414,0.701631,0.671914,0.635787,0.582735,0.533201,0.504772,0.486241,0.465665,0.45106,0.533668,0.533668,0.533668,0.533668,0.533668,0.533668,0.533668,0.533667,0.533667,0.533667
regional_emissions,ME,GtCO2/yr,2.00627,1.5047,1.29896,1.28579,1.28901,1.28002,1.27049,1.2701,1.26594,1.24657,1.21621,1.18236,1.15495,1.13991,1.12907,1.11594,1.11253,1.37947,1.37947,1.37947,1.37947,1.37947,1.37947,1.37947,1.37947,1.37947,1.37947
regional_emissions,INDIA,GtCO2/yr,2.77719,2.25683,2.46141,2.52752,2.58554,2.69359,2.79994,2.85644,2.86585,2.83241,2.73553,2.57111,2.37807,2.18681,1.9975,1.81251,1.65063,1.98204,1.98204,1.98204,1.98204,1.98204,1.98204,1.98204,1.98204,1.98204,1.98204
regional_emissions,KOR,GtCO2/yr,0.784572,0.588429,0.392286,0.299194,0.246082,0.203236,0.167129,0.135922,0.109104,0.0863632,0.0669199,0.0502755,0.0367523,0.02646,0.0191046,0.0143025,0.0113629,0.0351329,0.0351325,0.0351324,0.0351322,0.0351321,0.035132,0.0351319,0.0351318,0.0351317,0.0351313
regional_emissions,CHN,GtCO2/yr,11.3913,8.54349,5.69566,3.9793,3.06967,2.29496,1.63032,1.07328,0.61297,0.236958,-0.0557411,-0.266725,-0.410295,-0.50741,-0.568789,-0.600997,-0.625456,-0.275189,-0.27519,-0.27519,-0.27519,-0.27519,-0.27519,-0.27519,-0.27519,-0.275191,-0.275191
regional_emissions,SEAS,GtCO2/yr,1.51417,1.14822,1.22217,1.19603,1.11832,1.02359,0.951033,0.918682,0.892207,0.846872,0.801281,0.767606,0.721973,0.652077,0.588647,0.554026,0.53665,0.695681,0.695681,0.695681,0.695681,0.695681,0.69568,0.69568,0.69568,0.69568,0.69568
regional_emissions,INDO,GtCO2/yr,1.63506,1.22629,1.01137,0.937078,0.854855,0.749779,0.653729,0.58724,0.536109,0.486198,0.431298,0.371246,0.314962,0.268017,0.228409,0.194444,0.166009,0.227521,0.22752,0.22752,0.22752,0.22752,0.22752,0.22752,0.22752,0.227519,0.227519
regional_emissions,JAP,GtCO2/yr,1.06462,0.798468,0.532312,0.272774,0.221296,0.184453,0.153763,0.126282,0.100001,0.0744105,0.0508631,0.0304998,0.0134848,-0.000785921,-0.0127412,-0.0222756,-0.02995,0.0065439,0.00654353,0.00654335,0.00654321,0.0065431,0.00654299,0.00654288,0.00654276,0.00654259,0.00654227
regional_emissions,OCE,GtCO2/yr,0.388396,0.291297,0.194198,0.0970991,0.0578507,0.0382291,0.018205,0.000655959,-0.0136012,-0.028675,-0.0443228,-0.0547443,-0.0615229,-0.0707606,-0.0818833,-0.0915484,-0.099824,-0.0728379,-0.0728383,-0.0728385,-0.0728386,-0.0728387,-0.0728388,-0.0728389,-0.072839,-0.0728392,-0.0728395
regional_emissions,RSAS,GtCO2/yr,0.417044,0.403685,0.478829,0.539035,0.599851,0.671607,0.758174,0.856516,0.947583,1.01752,1.0734,1.12288,1.1649,1.1982,1.22376,1.24362,1.26668,1.65752,1.65752,1.65752,1.65752,1.65752,1.65752,1.65752,1.65752,1.65752,1.65752
regional_emissions,RSAF,GtCO2/yr,0.786528,0.589896,0.58302,0.80149,0.964706,0.869817,0.673186,0.538385,0.491885,0.515503,0.57597,0.642539,0.693379,0.718672,0.731386,0.743587,0.760043,0.985243,0.985243,0.985243,0.985243,0.985243,0.985243,0.985243,0.985242,0.985242,0.985242
baseline,CAN,GtCO2/yr,0.511577,0.521687,0.545978,0.56931,0.569654,0.541634,0.516554,0.531733,0.568037,0.597702,0.607947,0.593713,0.567319,0.544221,0.53736,0.554045,0.581164,0.604591,0.628149,0.646383,0.662773,0.676621,0.687983,0.697034,0.703882,0.708523,0.71057
baseline,USA,GtCO2/yr,5.39382,5.17224,4.97412,4.89842,4.83417,4.87588,4.93331,4.9665,4.96697,4.93259,4.88047,4.8353,4.83514,4.90384,4.99582,5.06471,5.12264,5.18881,5.29558,5.35108,5.39822,5.43868,5.47232,5.49852,5.51772,5.53027,5.53505
